time,flux,object
122.74572429777618,1035298.75,2
122.76615863823828,1035328.8,2
122.7865928786414,1035236.06,2
122.8070272190962,1035186.7,2
122.82746165955903,1035266.75,2
122.84789600002114,1035158.75,2
122.86833034047596,1035186.5,2
122.88876468093804,1035202.44,2
122.90919902140013,1035195.56,2
122.92963336179672,1035122.5,2
122.95006760225806,1035155.0,2
122.9705020426627,1035248.0,2
122.99093638311751,1035096.4,2
123.01137062352063,1035052.44,2
123.03180506398348,1035069.6,2
123.0522394044383,1035103.7,2
123.07267374484218,1035035.56,2
123.0931079852453,1035074.44,2
123.11354242570089,1035021.06,2
123.13397676610477,1035054.9,2
123.15441100650789,1035066.4,2
123.17484544696345,1035002.4,2
123.19527978736733,1035129.2,2
123.21571402777045,1035082.5,2
123.23614836817433,1035102.56,2
123.2565828085717,1034978.44,2
123.2770170489748,1035031.25,2
123.31788582971784,1034987.5,2
123.33832007012096,1034923.94,2
123.35875441052484,1034978.56,2
123.37918875086324,1034949.5,2
123.39962319126788,1035006.3,2
123.42005743160551,1034980.56,2
123.4404917720094,1034909.4,2
123.46092621235584,1034979.56,2
123.66526941573102,1035045.56,2
123.68570385607018,1034985.94,2
123.70613819635764,1034984.4,2
123.72657243664436,1034930.25,2
123.7470068769835,1034901.1,2
123.76744121727096,1034928.44,2
123.78787545755767,1034731.2,2
123.80830979783786,1034981.44,2
123.82874423812608,1034849.1,2
123.8491784783546,1034946.9,2
123.86961281863478,1034988.75,2
123.890047258923,1035030.7,2
123.910481599145,1034987.94,2
123.93091583937348,1034948.56,2
123.95135017966096,1034897.7,2
123.97178461988368,1035020.75,2
123.9922188601122,1035042.06,2
124.01265320034145,1034990.7,2
124.0330876405642,1035062.1,2
124.05352188073448,1034975.9,2
124.07395622096374,1034983.75,2
124.0943905611348,1034924.8,2
124.11482490135676,1034921.06,2
124.13525924152782,1035005.94,2
124.1556935816916,1034975.56,2
124.1761280218634,1035015.06,2
124.1965622620337,1034947.75,2
124.21699660220474,1034989.5,2
124.23743094231033,1034974.1,2
124.25786528248136,1034979.6,2
124.27829962258691,1035007.0,2
124.29873396269976,1035042.94,2
124.31916840281336,1034981.7,2
124.33960264292546,1035007.4,2
124.36003698303102,1035028.6,2
124.38047132314388,1035016.25,2
124.40090566319122,1035048.6,2
124.42134000330408,1035012.25,2
124.4417743433587,1035010.25,2
124.46220878340682,1034971.44,2
124.4826430234607,1035030.75,2
124.50307736351532,1034991.2,2
124.5235116035692,1035025.5,2
124.54394604361732,1035119.7,2
124.56438038361377,1035077.6,2
124.58481462360942,1034994.75,2
124.60524906359932,1034877.3,2
124.62568340359576,1034846.25,2
124.64611774358492,1034747.6,2
124.66655198358058,1034913.0,2
124.68698642351956,1034812.7,2
124.70742076351598,1034822.5,2
124.72785500344617,1034857.56,2
124.74828944338516,1034907.8,2
124.76872378331608,1034972.9,2
124.78915802325356,1034880.44,2
124.80959236313356,1034915.25,2
124.83002680307254,1034897.9,2
124.85046104294452,1034910.8,2
124.87089538282451,1034892.6,2
124.89132972270454,1034878.75,2
124.91176416257804,1034853.06,2
124.93219840239908,1034933.75,2
124.95263274222089,1034926.6,2
124.97306718209438,1034915.06,2
124.99350142191544,1034926.4,2
125.01393576167902,1034843.9,2
125.0343700014928,1034887.5,2
125.05480444131535,1034889.56,2
125.09567312083529,1034906.5,2
125.11610746059888,1034820.8,2
125.13654180036248,1034901.06,2
125.15697614006058,1034960.7,2
125.1774103797652,1034773.06,2
125.19784481952956,1034828.8,2
125.21827915922768,1034809.0,2
125.2387133988741,1034841.7,2
125.25914783858023,1034872.6,2
125.27958217827836,1034899.0,2
125.30001641792478,1034885.3,2
125.32045075757196,1034791.2,2
125.34088519715442,1034895.3,2
125.36131943680084,1034765.56,2
125.3817537763898,1034796.94,2
125.40218821603048,1034861.4,2
125.42262255561944,1034784.3,2
125.44305679514946,1034876.8,2
125.46349113473116,1034796.0,2
125.48392557426268,1034783.0,2
125.5043598138509,1034822.94,2
125.5247941533744,1034903.0,2
125.54522859290591,1034802.75,2
125.56566283237773,1034753.94,2
125.5860971719012,1034761.25,2
125.60653151137376,1034741.0,2
125.62696585078812,1034742.44,2
125.64740029025415,1034722.2,2
125.66783452972597,1034867.44,2
125.87217792332376,1034754.94,2
125.8926122625562,1034726.44,2
125.91304660185416,1034657.75,2
125.93348094109388,1034748.8,2
125.95391528032631,1034703.44,2
125.97434971956682,1034820.0,2
125.99478395880578,1034778.5,2
126.01521829798004,1034732.7,2
126.0356525371608,1034739.06,2
126.05608697634308,1034868.2,2
126.07652131551733,1034776.94,2
126.09695555463986,1034866.3,2
126.11738999376394,1034765.56,2
126.13782433287996,1034790.94,2
126.15825867200329,1034793.6,2
126.17869291106764,1034903.75,2
